taxa,worms_aphia_id,functional_group,phylum,class,order,family,genus,species,revised_taxa,LWRa,LWRb,LWRSource
Umbrina canariensis,127011,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Umbrina,Umbrina canariensis,Umbrina canariensis,0.0086,3.123,FishBase
Zeugopterus punctatus,127151,fish,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Zeugopterus,Zeugopterus punctatus,Zeugopterus punctatus,0.0139,3.146,FishBase
Zeugopterus regius,236488,fish,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Zeugopterus,Zeugopterus regius,Zeugopterus regius,0.0129,3.2052,English
Zeus faber,127427,fish,Chordata,Actinopteri,Zeiformes,Zeidae,Zeus,Zeus faber,Zeus faber,0.0234,2.89,FishBase
Acantholabrus palloni,126957,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Acantholabrus,Acantholabrus palloni,Acantholabrus palloni,0.0108,3.074,FishBase
Alosa fallax,126415,fish,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Alosa fallax,Alosa fallax,0.0047,3.11,FishBase
Ammodytes marinus,126751,fish,Chordata,Actinopteri,Perciformes,Ammodytidae,Ammodytes,Ammodytes marinus,Ammodytes marinus,0.0017,3.21,FishBase
Aphanopus carbo,127085,fish,Chordata,Actinopteri,Scombriformes,Trichiuridae,Aphanopus,Aphanopus carbo,Aphanopus carbo,3.8e-4,3.27,FishBase
Aphia minuta,126868,fish,Chordata,Actinopteri,Gobiiformes,Gobiidae,Aphia,Aphia minuta,Aphia minuta,8e-4,3.53,FishBase
Arctozenus risso,126352,fish,Chordata,Actinopteri,Aulopiformes,Paralepididae,Arctozenus,Arctozenus risso,Arctozenus risso,0.00324,3.08,FB_Baysian_(Sub)family-body shape
Argentina silus,126715,fish,Chordata,Actinopteri,Argentiniformes,Argentinidae,Argentina,Argentina silus,Argentina silus,0.0039,3.203,FishBase
Argyropelecus,126196,fish,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,NA,Argyropelecus,0.01834574,3,Mean_Species
Argyropelecus hemigymnus,127309,fish,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,Argyropelecus hemigymnus,Argyropelecus hemigymnus,0.0182,3,FB_Baysian_(Sub)family-body shape
Argyropelecus olfersii,274967,fish,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Argyropelecus,Argyropelecus olfersii,Argyropelecus olfersii,0.01879,3,FishBase
Bathysolea profundicola,127152,fish,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Bathysolea,Bathysolea profundicola,Bathysolea profundicola,0.00389,3.14,FB_Baysian_(Sub)family-body shape
Benthosema glaciale,126580,fish,Chordata,Actinopteri,Myctophiformes,Myctophidae,Benthosema,Benthosema glaciale,Benthosema glaciale,0.01023,3.11,FB_Baysian_(Sub)family-body shape
Beryx decadactylus,126394,fish,Chordata,Actinopteri,Beryciformes,Berycidae,Beryx,Beryx decadactylus,Beryx decadactylus,0.0151,3.13,FishBase
Beryx splendens,126395,fish,Chordata,Actinopteri,Beryciformes,Berycidae,Beryx,Beryx splendens,Beryx splendens,0.022,3.013,FishBase
Brama brama,126783,fish,Chordata,Actinopteri,Scombriformes,Bramidae,Brama,Brama brama,Brama brama,0.00597,3.288,FishBase
Callionymus,125930,fish,Chordata,Actinopteri,Callionymiformes,Callionymidae,Callionymus,NA,Callionymus,0.01601794,2.66,Mean_Species
Centrolabrus exoletus,126961,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Centrolabrus,Centrolabrus exoletus,Centrolabrus exoletus,0.0047,3.23,FishBase
Centroscyllium fabricii,105906,fish,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Centroscyllium,Centroscyllium fabricii,Centroscyllium fabricii,9e-4,3.42,FishBase
Ceratoscopelus maderensis,126585,fish,Chordata,Actinopteri,Myctophiformes,Myctophidae,Ceratoscopelus,Ceratoscopelus maderensis,Ceratoscopelus maderensis,0.00537,3.08,FB_Baysian_(Sub)family-body shape
Chimaera monstrosa,105824,fish,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Chimaera,Chimaera monstrosa,Chimaera monstrosa,0.0015,3.11,FishBase
